player,IP,W,L,SV,HLD
"Hernandez, Jonathan",56.7,2.8,2.8,5,14
"King, Michael",56.7,3.1,2.4,2,15
"De Los Santos, Yerry",56.7,2.8,2.8,3,6
"Cleavinger, Garrett",56.7,3,2.5,0,6
"Kimbrel, Craig",56.7,2.9,2.7,10,11
"Thompson, Mason",56.7,2.6,2.9,0,6
"Estrada, Jeremiah",56.7,2.8,2.7,2,14
"Barlow, Joe",56.7,2.6,3,7,14
"White, Brendan",56.7,2.6,2.9,0,6
"Kelly, Kevin",56.7,2.8,2.7,0,6
"Bielak, Brandon",56.6,2.9,2.8,0,12
"Chacin, Jhoulys",56.4,2.6,2.9,0,5
"Davidson, Tucker",56.4,2.9,2.9,0,3
"Wisler, Matt",55.2,2.4,3,3,12
"Sborz, Josh",55.2,2.7,2.7,1,5
"Pop, Zach",55.2,2.8,2.6,0,5
"Vespi, Nick",55.2,2.7,2.7,0,5
"Ward, Thaddeus",55,2.6,3,0,5
"Burrows, Mike",54.9,2.7,3.2,0,2
"Chavez, Jesse",54.5,2.8,2.5,0,12
"Grove, Michael",54.5,2.9,3,0,2
"Heasley, Jonathan",54.2,2.6,3.5,0,1
"Thompson, Zach",53.9,2.8,2.9,0,3
"Gilbreath, Lucas",53.9,2.8,2.5,1,18
"Nelson, Kyle",53.9,2.5,2.8,0,18
"Bednar, David",53.9,2.8,2.5,25,0
"Jackson, Luke",53.5,2.6,2.6,0,16
"Hoffman, Jeff",53.5,2.5,2.7,0,5
"Woodford, Jake",53.5,2.6,2.7,0,5
"Thompson, Zack",52.8,2.8,2.5,0,4
"Zimmermann, Bruce",52.8,2.7,2.8,0,4
"Leone, Dominic",52.5,2.5,2.6,2,17
"Thompson, Ryan",52.5,2.6,2.6,3,17
"Hudson, Daniel",52.5,2.8,2.4,5,13
"Smith, Chad",52.4,2.4,2.7,0,4
"Garcia, Rony",52.4,2.4,2.7,0,4
"Lambert, Jimmy",52.4,2.2,3,0,12
"Whitley, Forrest",51.9,2.9,2.7,0,3
"Garrett, Amir",51.8,2.5,2.6,2,19
"Krehbiel, Joey",51.8,2.4,2.7,0,15
"Bummer, Aaron",51.8,2.9,2.2,3,19
"Castillo, Jose",51.8,2.7,2.4,0,5
"Anderson, Nick",51.8,2.6,2.5,0,5
"Bickford, Phil",51.8,2.7,2.4,0,8
"Trivino, Lou",51.8,2.6,2.4,0,16
"Englert, Mason",51.8,2.4,2.7,0,5
"Herrin, Tim",51.8,2.6,2.4,0,5
"Avila, Nick",51.8,2.4,2.7,0,5
"Hand, Brad",51.8,2.5,2.6,5,19
"Montes De Oca, Bryce",51.7,2.6,2.4,0,5
"Moreta, Dauri",51.7,2.4,2.6,0,5
"Kuhnel, Joel",51.7,2.5,2.6,0,5
"Nardi, Andrew",51.7,2.5,2.5,0,5
"Kahnle, Tommy",51,2.7,2.3,0,17
"Barnes, Matt",51,2.5,2.5,5,14
"Britton, Zack",51,2.5,2.4,0,17
"Sulser, Cole",51,2.5,2.5,0,17
"Perez, Eury",51,2.7,3.1,0,0
"Pfaadt, Brandon",51,2.7,3,0,0
"Robles, Hansel",50.2,2.4,2.6,2,15
"Lovelady, Richard",50.2,2.5,2.5,0,15
"Lopez, Jose",50.2,2.5,2.4,0,5
"Voth, Austin",50,2.4,2.8,0,3
"Kennedy, Ian",49.6,2.2,2.6,5,17
"Mayza, Tim",49.3,2.7,2.2,0,18
"Plassmeyer, Michael",49.1,2.5,2.7,0,3
"Sanchez, Sixto",48.7,2.7,2.5,0,2
"Pomeranz, Drew",48.6,2.6,2.2,2,12
"Abreu, Albert",48.6,2.5,2.3,0,5
"Sands, Cole",48.6,2.3,2.4,0,4
"Stashak, Cody",48.6,2.3,2.4,0,4
"Hernandez, Carlos",48.6,2.2,2.5,0,4
"Mears, Nick",48.6,2.3,2.4,0,10
"Olson, Reese",48.4,2.3,2.7,0,3
"Bradley, Archie",48.2,2.2,2.5,1,16
"Santana, Dennis",48.2,2.4,2.4,0,16
"Strickland, Hunter",48.2,2.1,2.6,2,13
"Weiss, Zack",48.1,2.4,2.3,0,4
"Strasburg, Stephen",47.9,2.1,3.3,0,0
"Moll, Sam",47.9,2.2,2.5,0,18
"Diekman, Jake",47.9,2.5,2.2,0,18
"Yates, Kirby",47.9,2.5,2.2,0,18
"Small, Ethan",47.8,2.3,2.7,0,3
