last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Clement, Ernie,676391,2022,26,11,6,34,0,69,19,
Barrero, Jose ,676480,2022,76,9,10,34,4,48,13,
Madris, Bligh,676632,2022,31,10,7,30,2,39,10,
Meyers, Jake,676694,2022,54,7,15,47,2,52,13,
Trejo, Alan,676701,2022,31,5,17,50,1,35,15,
McCormick, Chas,676801,2022,106,46,44,146,4,119,47,
Franco, Wander,677551,2022,33,26,33,131,8,83,46,
Rodriguez, Julio,677594,2022,145,40,75,260,25,132,84,
Duran, Ezequiel,677649,2022,54,12,25,76,4,58,25,
Thomas, Alek,677950,2022,74,22,39,131,4,113,45,
Witt Jr., Bobby,677951,2022,135,30,80,253,30,150,82,
Torkelson, Spencer,679529,2022,99,37,28,115,0,110,38,
Vavra, Terrin,679631,2022,19,12,12,30,0,40,14,
Palacios, Richie,680700,2022,20,9,10,32,2,54,7,
Kwan, Steven,680757,2022,60,62,52,225,19,147,89,
Duran, Jarren,680776,2022,63,14,17,74,7,58,23,
Jeffers, Ryan,680777,2022,62,23,27,77,0,67,25,
Burdick, Peyton,680814,2022,35,8,11,35,1,32,8,
Miller, Owen,680911,2022,93,32,51,149,2,130,53,
Donovan, Brendan,680977,2022,70,60,45,148,2,126,64,
Stott, Bryson,681082,2022,89,36,49,153,12,127,58,
Bride, Jonah,681146,2022,32,19,6,40,1,58,17,
Carpenter, Kerry,681481,2022,32,6,10,50,0,31,16,
Villar, David,681584,2022,58,18,24,71,0,52,21,
Eaton, Nate,681987,2022,30,10,12,41,11,44,16,
Abrams, CJ,682928,2022,50,5,21,92,7,90,33,
