last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Sanchez, Carlos,570560,2018,26,.344,.289,.301,86.7,9.3,35.1,3,4.5,28.3,64.7,31.4,51.2,17.1,25.9,5.8,28.1,
Arenado, Nolan,571448,2018,27,.480,.354,.350,89.8,15.3,35.6,7.2,8.4,40.5,72.5,30.2,40.4,24.4,26.5,8.6,25.7,
Barnhart, Tucker,571466,2018,27,.351,.301,.321,87.1,12.4,35.7,3.5,4.9,30.3,69.3,24.6,47.3,20.8,25.9,5.9,25.0,
Gennett, Scooter,571697,2018,28,.403,.311,.311,87.3,14,37.5,5.8,4.7,32.3,73.9,36.3,41.5,25.7,27,5.8,26.4,
Hamilton, Billy,571740,2018,27,.266,.256,.290,80.5,15.3,36.6,0.5,0.8,8.5,68.4,26.8,40.1,17.8,30.8,11.4,30.1,
Haniger, Mitch,571745,2018,27,.498,.370,.362,90.2,12.7,36.5,10.3,5.5,43.2,61.3,22.5,43.3,24.2,26.2,6.4,27.8,
Piscotty, Stephen,572039,2018,27,.492,.356,.332,88.5,13.2,34.3,9.6,7.1,38.7,72.6,34.3,45.3,24.9,24.7,5,26.7,
Seager, Kyle,572122,2018,30,.411,.305,.297,89.8,18.5,37,5.6,8.2,39.6,68.2,27.4,34.7,32.1,24.9,8.2,25.8,
Carpenter, Matt,572761,2018,32,.542,.391,.385,90.7,21.6,44.1,13.7,11.5,44.7,57.9,18.6,28.3,37.8,28.5,5.4,26.5,
Dickerson, Corey,572816,2018,29,.450,.330,.317,87.9,15.1,37.6,6.1,5.6,32.4,79,41.8,38.3,22.9,30.6,8.2,27.9,
Dozier, Brian,572821,2018,31,.343,.288,.299,86.8,17.5,30.5,6.3,6.5,29.4,57.4,23.5,40.8,28.2,19.8,11.2,26.8,
Contreras, Willson,575929,2018,26,.361,.303,.314,88.2,8,28.9,7.3,5.3,33.3,69.2,31.3,53.5,17.9,22.4,6.2,27.6,
Castellanos, Nick,592206,2018,26,.525,.374,.353,89.6,15.2,45.3,11.2,7.8,40.7,77.1,35.5,36.7,24.6,33.7,5.1,27.8,
